Run,MNLI dev acc.,Lexical (entailed),Subseq (entailed),Constituent (entailed),Lexical (nonent),Subseq (nonent),Constituent (nonent),Overall accuracy,ln_subject/object_swap,ln_preposition,ln_relative_clause,ln_passive,ln_conjunction,le_relative_clause,le_around_prepositional_phrase,le_around_relative_clause,le_conjunction,le_passive,sn_NP/S,sn_PP_on_subject,sn_relative_clause_on_subject,sn_past_participle,sn_NP/Z,se_conjunction,se_adjective,se_understood_object,se_relative_clause_on_obj,se_PP_on_obj,cn_embedded_under_if,cn_after_if_clause,cn_embedded_under_verb,cn_disjunction,cn_adverb,ce_embedded_under_since,ce_after_since_clause,ce_embedded_under_verb,ce_conjunction,ce_adverb
Run 0,0.8456444,0.9614,0.9946,0.9932,0.39,0.049,0.0814,0.578266667,0.415,0.548,0.449,0.013,0.525,0.976,1,0.991,0.842,0.998,0.025,0.092,0.053,0,0.075,0.977,1,1,0.996,1,0.349,0,0.039,0.004,0.015,0.966,1,1,1,1
Run 1,0.8436067,0.9428,0.9896,0.9976,0.2992,0.0354,0.1318,0.566066667,0.175,0.439,0.278,0.003,0.601,0.981,1,0.994,0.739,1,0.006,0.107,0.044,0.001,0.019,0.957,1,1,0.991,1,0.395,0,0.222,0.005,0.037,0.99,1,0.998,1,1
Run 2,0.8476821,0.9532,0.9872,0.9892,0.3636,0.0732,0.127,0.582233333,0.256,0.529,0.423,0,0.61,0.972,0.998,0.993,0.803,1,0.006,0.162,0.097,0.006,0.095,0.945,1,1,0.991,1,0.366,0.001,0.149,0.014,0.105,0.956,1,0.99,1,1
Run 3,0.8427916,0.9704,0.9978,0.9952,0.1898,0.0314,0.1678,0.558733333,0.069,0.319,0.25,0.001,0.31,0.976,1,0.989,0.887,1,0.019,0.055,0.029,0,0.054,0.991,1,1,0.998,1,0.432,0.003,0.232,0.023,0.149,0.976,1,1,1,1
Run 4,0.84268975,0.9586,0.9972,0.989,0.2182,0.048,0.1094,0.5534,0.022,0.374,0.266,0,0.429,0.966,0.997,0.992,0.838,1,0.021,0.102,0.06,0.007,0.05,0.986,1,1,1,1,0.373,0,0.146,0.001,0.027,0.953,1,0.992,1,1
Run 5,0.84248596,0.9722,0.9958,0.9962,0.3582,0.0558,0.0578,0.572666667,0.363,0.519,0.418,0.028,0.463,0.983,0.999,0.995,0.884,1,0.011,0.158,0.081,0,0.029,0.98,1,1,0.999,1,0.2,0.003,0.066,0.002,0.018,0.981,1,1,1,1
Run 6,0.8440143,0.9702,0.9972,0.9884,0.5,0.0806,0.096,0.6054,0.595,0.727,0.59,0.008,0.58,0.963,0.998,0.987,0.904,0.999,0.012,0.247,0.096,0.004,0.044,0.989,1,1,0.997,1,0.195,0.015,0.247,0,0.023,0.974,1,0.968,1,1
Run 7,0.844218,0.9606,0.9976,0.9924,0.3488,0.0836,0.0634,0.5744,0.211,0.574,0.42,0.01,0.529,0.972,0.999,0.992,0.84,1,0.016,0.214,0.115,0.003,0.07,0.992,1,1,0.996,1,0.233,0.006,0.038,0,0.04,0.965,1,0.997,1,1
Run 8,0.844218,0.9504,0.9928,0.995,0.5274,0.0824,0.1302,0.613033333,0.662,0.707,0.61,0.03,0.628,0.938,0.997,0.994,0.823,1,0.017,0.191,0.147,0.003,0.054,0.968,1,1,0.996,1,0.428,0.005,0.198,0.003,0.017,0.976,1,0.999,1,1
Run 9,0.8456444,0.9702,0.997,0.9894,0.1326,0.0288,0.1516,0.544933333,0.008,0.23,0.173,0,0.252,0.979,0.996,0.982,0.894,1,0.001,0.049,0.045,0.005,0.044,0.985,1,1,1,1,0.528,0,0.192,0.006,0.032,0.962,1,0.985,1,1
Run 10,0.84248596,0.9522,0.9916,0.9964,0.4856,0.0848,0.189,0.6166,0.447,0.67,0.601,0.005,0.705,0.963,0.996,0.97,0.833,0.999,0.027,0.211,0.149,0.011,0.026,0.963,1,1,0.995,1,0.467,0.003,0.376,0.003,0.096,0.982,1,1,1,1
Run 11,0.84472746,0.9704,0.9964,0.9952,0.1592,0.0186,0.0856,0.537566667,0.038,0.254,0.182,0,0.322,0.997,1,0.992,0.864,0.999,0.003,0.041,0.014,0,0.035,0.983,1,1,0.999,1,0.311,0.002,0.102,0.001,0.012,0.976,1,1,1,1
Run 12,0.84554255,0.9606,0.9974,0.9938,0.3232,0.0588,0.0784,0.5687,0.243,0.494,0.41,0.025,0.444,0.975,0.998,0.995,0.836,0.999,0.033,0.13,0.084,0.001,0.046,0.992,1,1,0.995,1,0.28,0.007,0.06,0.001,0.044,0.969,1,1,1,1
Run 13,0.8457463,0.9636,0.9944,0.9878,0.4142,0.0678,0.1182,0.591,0.326,0.628,0.502,0.015,0.6,0.958,0.999,0.994,0.868,0.999,0.032,0.167,0.077,0.003,0.06,0.979,1,1,0.993,1,0.365,0.03,0.119,0.003,0.074,0.951,1,0.988,1,1
Run 14,0.845135,0.9472,0.9922,0.9886,0.2818,0.056,0.0794,0.557533333,0.078,0.433,0.341,0,0.557,0.985,0.999,0.99,0.763,0.999,0.022,0.119,0.055,0.002,0.082,0.974,1,0.994,0.993,1,0.345,0.001,0.047,0,0.004,0.943,1,1,1,1
Run 15,0.8409577,0.9532,0.985,0.9822,0.0976,0.0418,0.1778,0.5396,0,0.115,0.135,0,0.238,0.97,0.983,0.977,0.836,1,0.025,0.022,0.031,0.02,0.111,0.986,1,0.953,0.99,0.996,0.602,0.001,0.184,0.027,0.075,0.928,1,0.983,1,1
Run 16,0.84554255,0.975,0.9962,0.9928,0.2404,0.0228,0.1218,0.558166667,0.114,0.316,0.27,0,0.502,0.973,1,0.996,0.907,0.999,0.005,0.035,0.027,0,0.047,0.989,1,1,0.992,1,0.434,0.02,0.114,0,0.041,0.973,1,0.991,1,1
Run 17,0.8452369,0.9478,0.9944,0.9936,0.3422,0.0626,0.1162,0.576133333,0.253,0.544,0.408,0.004,0.502,0.974,0.998,0.996,0.771,1,0.035,0.146,0.076,0.001,0.055,0.976,1,1,0.996,1,0.338,0,0.183,0.001,0.059,0.969,1,0.999,1,1
Run 18,0.84085584,0.9714,0.9974,0.9992,0.2652,0.0286,0.0734,0.555866667,0.171,0.38,0.32,0.002,0.453,0.986,1,0.992,0.879,1,0.016,0.053,0.027,0.006,0.041,0.992,1,0.999,0.996,1,0.262,0.004,0.083,0,0.018,0.997,1,0.999,1,1
Run 19,0.8438105,0.9746,0.9978,0.9928,0.1216,0.0384,0.1292,0.5424,0.012,0.223,0.175,0,0.198,0.993,0.999,0.979,0.902,1,0.039,0.05,0.024,0.006,0.073,0.998,1,1,0.991,1,0.441,0.001,0.144,0.005,0.055,0.964,1,1,1,1
Run 20,0.8417728,0.9412,0.9924,0.9878,0.4348,0.0814,0.2376,0.612533333,0.38,0.613,0.517,0.011,0.653,0.958,0.986,0.984,0.779,0.999,0.026,0.199,0.103,0.011,0.068,0.972,1,1,0.99,1,0.697,0,0.375,0.005,0.111,0.96,1,0.979,1,1
Run 21,0.84452367,0.96,0.9888,0.987,0.4134,0.096,0.1292,0.595733333,0.395,0.593,0.46,0.02,0.599,0.971,1,0.995,0.834,1,0.015,0.229,0.163,0.013,0.06,0.957,1,1,0.987,1,0.419,0.026,0.161,0.004,0.036,0.947,1,0.988,1,1
Run 22,0.84370863,0.9412,0.9906,0.9898,0.3166,0.0792,0.1372,0.575766667,0.12,0.527,0.387,0.005,0.544,0.962,0.99,0.981,0.773,1,0.009,0.193,0.112,0.003,0.079,0.972,1,0.99,0.991,1,0.38,0.01,0.2,0.005,0.091,0.953,1,0.996,1,1
Run 23,0.84533876,0.9682,0.9972,0.9936,0.1722,0.0312,0.1516,0.552333333,0.032,0.262,0.194,0,0.373,0.989,0.997,0.993,0.862,1,0.008,0.077,0.035,0.002,0.034,0.986,1,1,1,1,0.497,0,0.181,0,0.08,0.969,1,0.999,1,1
Run 24,0.8446256,0.9592,0.9968,0.9866,0.355,0.0814,0.1494,0.588066667,0.243,0.531,0.451,0.01,0.54,0.944,0.999,0.992,0.862,0.999,0.018,0.218,0.103,0.004,0.064,0.989,1,1,0.995,1,0.427,0,0.262,0.003,0.055,0.953,1,0.98,1,1
Run 25,0.8413653,0.9648,0.9934,0.991,0.106,0.029,0.1672,0.5419,0.001,0.133,0.139,0,0.257,0.966,0.998,0.99,0.87,1,0.032,0.025,0.023,0.004,0.061,0.987,1,0.998,0.982,1,0.445,0,0.309,0.003,0.079,0.957,1,0.998,1,1
Run 26,0.84207845,0.965,0.9956,0.9942,0.0844,0.0202,0.156,0.5359,0,0.092,0.157,0,0.173,0.981,0.996,0.985,0.863,1,0.015,0.027,0.018,0.005,0.036,0.998,1,0.988,0.992,1,0.478,0,0.202,0.013,0.087,0.985,1,0.986,1,1
Run 27,0.8444218,0.945,0.9912,0.99,0.229,0.0422,0.0768,0.5457,0.047,0.343,0.267,0,0.488,0.973,0.993,0.985,0.774,1,0.025,0.105,0.039,0.005,0.037,0.972,1,1,0.985,0.999,0.328,0,0.047,0,0.009,0.951,1,0.999,1,1
Run 28,0.84207845,0.9644,0.9924,0.9964,0.2086,0.051,0.0828,0.549266667,0.06,0.292,0.207,0,0.484,0.98,0.999,0.987,0.856,1,0.015,0.105,0.062,0.002,0.071,0.97,1,1,0.992,1,0.225,0.007,0.098,0.002,0.082,0.984,1,0.998,1,1
Run 29,0.84635764,0.9762,0.997,0.9844,0.3404,0.0502,0.2054,0.592266667,0.386,0.477,0.365,0.001,0.473,0.977,0.998,0.997,0.91,0.999,0.03,0.11,0.036,0.003,0.072,0.994,1,0.998,0.993,1,0.643,0.004,0.255,0.001,0.124,0.93,1,0.992,1,1
Run 30,0.8456444,0.9638,0.999,0.9906,0.2298,0.042,0.0774,0.550433333,0.084,0.408,0.304,0.002,0.351,0.986,1,0.985,0.848,1,0.017,0.085,0.055,0.002,0.051,0.996,1,1,0.999,1,0.211,0,0.121,0,0.055,0.975,1,0.978,1,1
Run 31,0.8429954,0.9302,0.9862,0.9894,0.4632,0.0926,0.1452,0.601133333,0.411,0.666,0.551,0.017,0.671,0.951,0.995,0.988,0.717,1,0.015,0.236,0.125,0.003,0.084,0.935,1,1,0.996,1,0.495,0.002,0.152,0.011,0.066,0.949,1,0.998,1,1
Run 32,0.8391238,0.9502,0.9974,0.9814,0.2596,0.0476,0.1824,0.569766667,0.168,0.434,0.323,0.002,0.371,0.967,0.993,0.987,0.805,0.999,0.018,0.118,0.045,0.002,0.055,0.993,1,1,0.994,1,0.596,0.003,0.233,0.015,0.065,0.935,1,0.972,1,1
Run 33,0.8410596,0.9636,0.9896,0.9942,0.3216,0.0768,0.1344,0.580033333,0.225,0.507,0.377,0,0.499,0.979,0.998,0.99,0.852,0.999,0.011,0.223,0.115,0.002,0.033,0.951,1,0.999,0.998,1,0.367,0,0.215,0.002,0.088,0.975,1,0.996,1,1
Run 34,0.8446256,0.9772,0.996,0.9984,0.2122,0.0218,0.0618,0.544566667,0.119,0.331,0.248,0.003,0.36,0.992,1,1,0.894,1,0.011,0.046,0.022,0,0.03,0.982,1,1,0.998,1,0.238,0.001,0.056,0,0.014,0.992,1,1,1,1
Run 35,0.84350485,0.9616,0.9902,0.9946,0.307,0.0436,0.0712,0.561366667,0.172,0.448,0.354,0.007,0.554,0.989,1,0.993,0.827,0.999,0.019,0.096,0.04,0,0.063,0.953,0.999,1,0.999,1,0.19,0.001,0.133,0.004,0.028,0.973,1,1,1,1
Run 36,0.84146714,0.945,0.9916,0.9876,0.4116,0.0686,0.1204,0.587466667,0.349,0.618,0.457,0.004,0.63,0.966,0.993,0.993,0.773,1,0.011,0.176,0.098,0.001,0.057,0.964,1,1,0.995,0.999,0.299,0,0.276,0.001,0.026,0.951,1,0.987,1,1
Run 37,0.84411615,0.952,0.9932,0.9918,0.5266,0.081,0.1086,0.608866667,0.625,0.706,0.64,0.025,0.637,0.971,0.997,0.989,0.803,1,0.031,0.201,0.113,0,0.06,0.979,1,1,0.987,1,0.392,0.004,0.098,0.003,0.046,0.961,1,0.998,1,1
Run 38,0.8430973,0.9576,0.9918,0.9866,0.173,0.044,0.1616,0.552433333,0.04,0.26,0.199,0.002,0.364,0.977,1,0.992,0.819,1,0.013,0.076,0.052,0.001,0.078,0.968,1,1,0.991,1,0.552,0.007,0.178,0.002,0.069,0.939,1,0.994,1,1
Run 39,0.84350485,0.9496,0.988,0.9892,0.4734,0.1092,0.1676,0.612833333,0.448,0.663,0.54,0.007,0.709,0.961,0.997,0.991,0.801,0.998,0.035,0.244,0.17,0.003,0.094,0.95,1,1,0.99,1,0.431,0.006,0.248,0.007,0.146,0.948,1,0.998,1,1
Run 40,0.8440143,0.9654,0.9972,0.9858,0.267,0.0654,0.1,0.563466667,0.181,0.439,0.357,0.002,0.356,0.971,0.997,0.985,0.874,1,0.026,0.161,0.101,0.003,0.036,0.989,1,1,0.997,1,0.329,0.002,0.152,0.001,0.016,0.939,1,0.99,1,1
Run 41,0.8413653,0.9642,0.9986,0.9898,0.1132,0.0212,0.153,0.54,0,0.184,0.175,0,0.207,0.985,1,0.985,0.851,1,0.016,0.025,0.015,0.003,0.047,0.999,1,1,0.994,1,0.442,0.003,0.221,0.001,0.098,0.966,1,0.983,1,1
Run 42,0.83942944,0.963,0.9948,0.9936,0.0948,0.015,0.1322,0.532233333,0,0.132,0.134,0,0.208,0.987,0.996,0.983,0.849,1,0.015,0.016,0.01,0.004,0.03,0.994,1,0.986,0.994,1,0.423,0,0.174,0,0.064,0.977,1,0.991,1,1
Run 43,0.84411615,0.941,0.9882,0.99,0.327,0.0866,0.192,0.587466667,0.183,0.494,0.428,0.002,0.528,0.957,0.995,0.981,0.773,0.999,0.022,0.217,0.117,0.016,0.061,0.96,1,1,0.981,1,0.517,0,0.404,0.008,0.031,0.959,1,0.991,1,1
Run 44,0.83667856,0.9774,0.9958,0.9942,0.0524,0.0146,0.1282,0.5271,0,0.039,0.098,0,0.125,0.996,0.989,0.986,0.916,1,0.024,0.003,0.011,0.004,0.031,0.994,1,0.993,0.992,1,0.531,0,0.075,0,0.035,0.975,1,0.996,1,1
Run 45,0.8430973,0.9616,0.9944,0.9908,0.4192,0.1142,0.1496,0.604966667,0.348,0.64,0.479,0.037,0.592,0.961,0.997,0.996,0.855,0.999,0.024,0.277,0.19,0.004,0.076,0.975,1,1,0.997,1,0.451,0.001,0.197,0.013,0.086,0.96,1,0.994,1,1
Run 46,0.8405502,0.9436,0.9918,0.9806,0.1576,0.056,0.2186,0.558033333,0.004,0.208,0.197,0,0.379,0.979,0.993,0.978,0.768,1,0.022,0.049,0.071,0.013,0.125,0.974,1,1,0.986,0.999,0.671,0.001,0.29,0.031,0.1,0.918,1,0.985,1,1
Run 47,0.84676516,0.934,0.9916,0.9806,0.3002,0.0552,0.1426,0.567366667,0.128,0.499,0.336,0.003,0.535,0.966,0.997,0.991,0.717,0.999,0.014,0.134,0.063,0.004,0.061,0.969,1,1,0.989,1,0.5,0.003,0.148,0,0.062,0.925,1,0.978,1,1
Run 48,0.8403464,0.9604,0.9954,0.9924,0.0764,0.0216,0.1472,0.532233333,0,0.09,0.115,0,0.177,0.983,0.991,0.983,0.845,1,0.015,0.03,0.024,0.019,0.02,0.987,1,0.991,0.999,1,0.48,0.001,0.16,0.004,0.091,0.965,1,0.997,1,1
Run 49,0.84635764,0.9706,0.998,0.9972,0.356,0.0368,0.0322,0.565133333,0.419,0.508,0.425,0.01,0.418,0.989,1,0.994,0.87,1,0.007,0.087,0.072,0,0.018,0.994,1,1,0.996,1,0.138,0,0.015,0.001,0.007,0.986,1,1,1,1
Run 50,0.845135,0.9688,0.9938,0.9936,0.229,0.0328,0.1328,0.558466667,0.125,0.327,0.247,0,0.446,0.981,1,1,0.863,1,0.005,0.069,0.035,0.004,0.051,0.974,1,1,0.995,1,0.322,0.002,0.279,0.003,0.058,0.968,1,1,1,1
